countdown_index,title,year,tMeterScore,adjusted_score,critics_consensus,synopsis,synopsis_link,director,cast
24,First Blood,1982,87.0,90.899,"Much darker and more sensitive than the sequels it spawned, First Blood is a thrilling survival adventure that takes full advantage of Sylvester Stallone's acting skills.",A former Green Beret must use all of the guerrilla tactics he learned in Vietnam to save himself after he...,https://www.rottentomatoes.com/m/first_blood/,Ted Kotcheff,"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso"
23,Mission: Impossible Rogue Nation,2015,93.0,105.156,Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.,"With the IMF disbanded, and Ethan (Tom Cruise) out in the cold, the team now faces off against a network...",https://www.rottentomatoes.com/m/mission_impossible_rogue_nation/,Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Ving Rhames, Simon Pegg"
22,The Terminator,1984,100.0,104.868,"With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks.","A Cyborg has been sent from the future on a deadly mission, it has been programmed to kill a young...",https://www.rottentomatoes.com/m/terminator/,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
21,Gladiator,2000,76.0,83.203,Ridley Scott and an excellent cast successfully convey the intensity of Roman gladitorial combat as well as the political intrigue brewing beneath.,"A man robbed of his name and his dignity strives to win them back, and gain the freedom of his...",https://www.rottentomatoes.com/m/gladiator/,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
20,Kill Bill: Volume 1,2003,85.0,91.871,Kill Bill is admittedly little more than a stylish revenge thriller -- albeit one that benefits from a wildly inventive surfeit of style.,An entire wedding party is slaughtered during a dress rehearsal in a rural chapel: the pregnant woman in the blood-splattered...,https://www.rottentomatoes.com/m/kill_bill_vol_1/,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, David Carradine"
19,Léon: The Professional,1994,73.0,76.843,Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.,"As visually stylish as it is graphically violent, this thriller directed by Luc Besson concerns Mathilda (Natalie Portman), a 12-year-old...",https://www.rottentomatoes.com/m/leon_the_professional/,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
18,Speed,1994,94.0,97.92,"A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock.","If you don't think Speed is the fastest-moving adventure film ever made, we challenge you to find a faster one....",https://www.rottentomatoes.com/m/speed_1994/,Lee Sang-woo,
17,The Legend of Drunken Master (Jui kuen II) (Drunken Fist II),1994,83.0,87.766,Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.,Jackie Chan returns in one of his greatest roles in this action-comedy sequel to his 1978 Hong Kong blockbuster Drunken...,https://www.rottentomatoes.com/m/legend_of_drunken_master/,Lau Kar-Leung,"Jackie Chan, Siu Tin Yuen, Jang Lee Hwang, Kau Lam"
16,John Wick,2014,86.0,94.201,"Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise.",An ex-hitman comes out of retirement to track down the gangsters that took everything from him. With New York City...,https://www.rottentomatoes.com/m/john_wick/,David Leitch,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Adrianne Palicki"
15,"Crouching Tiger, Hidden Dragon",2001,97.0,101.913,"The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama.",Taiwanese filmmaker Ang Lee took a break from making Western period dramas to fashion this wild and woolly martial arts...,https://www.rottentomatoes.com/m/crouching_tiger_hidden_dragon/,Ang Lee,"Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang"
14,Predator,1987,81.0,84.506,"Predator: Part sci-fi, part horror, part action -- all muscle.","Dutch (Arnold Schwarzenegger) has a code of honor which he will not violate, even when his life depends on it....",https://www.rottentomatoes.com/m/predator/,John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Bill Duke"
13,The Bourne Ultimatum,2007,92.0,101.018,"The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy.",Jason Bourne (Matt Damon) races to solve the mystery of his past while being hunted by members of the very...,https://www.rottentomatoes.com/m/bourne_ultimatum/,Paul Greengrass,"Matt Damon, Julia Stiles, David Strathairn, Scott Glenn"
12,Total Recall,1990,82.0,86.721,"Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks.","In Paul Verhoeven's wild sci-fi action movie Total Recall, Arnold Schwarzenegger plays a 21st-century construction worker who discovers that his...",https://www.rottentomatoes.com/m/total_recall/,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox"
11,Mad Max 2: The Road Warrior,1982,95.0,98.79,"The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber.",Director George Miller's follow-up to his own 1979 hit Mad Max is proof that not all sequels are inferior to...,https://www.rottentomatoes.com/m/mad_max_2_the_road_warrior/,George Miller,"Mel Gibson, Bruce Spence, Vernon Wells, Emil Minty"
